trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-45.713634,37.225903,-17.708662,-120.349396,42.2,-172.54713,30.06939,-95.266685,-217.97687,101.0,5050,0.0,0.0,16.961185216903687,0.31915644,-172.54713
-50.268787,28.781612,-7.465476,-82.48527,47.666666666666664,-41.36047,40.637814,-8.619207,-185.1882,37.592592592592595,6065,0.0,0.0,60.47256517410278,0.35426608,-172.54713
-25.247082,15.624509,-10.993292,-69.60824,27.866666666666667,-31.476343,22.35509,-10.477608,-115.63098,32.45161290322581,7071,0.0,0.0,104.06331205368042,0.38673484,-172.54713
-28.682484,14.341898,-12.369427,-67.64104,28.133333333333333,-48.133423,39.267715,-7.6558666,-129.698,42.583333333333336,8093,0.0,0.0,147.58818340301514,0.40198073,-172.54713
-40.987392,27.55609,-10.322471,-90.83143,39.5,-35.25738,35.01677,-8.830537,-186.60306,32.72727272727273,9173,0.0,0.0,192.65951824188232,0.41203216,-172.54713
-49.25356,62.20398,-9.288851,-186.23817,37.333333333333336,-41.462395,34.74738,-11.670458,-143.43541,38.84615384615385,10183,0.0,0.0,236.22387409210205,0.40929958,-172.54713
-50.577,48.080948,-14.573244,-184.59189,41.5,-30.6807,25.29335,-8.358087,-117.183136,29.58823529411765,11189,0.0,0.0,280.48652386665344,0.42233714,-172.54713
-23.576576,12.937722,-9.901131,-63.89299,26.0625,-30.605234,23.03194,-7.551987,-99.07015,29.82857142857143,12233,0.0,0.0,325.192400932312,0.41986188,-172.54713
-34.570282,23.50509,-9.2060995,-84.3168,32.07692307692308,-37.43349,34.372993,-9.519612,-188.19186,33.9,13250,0.0,0.0,368.66803550720215,0.39599565,-172.54713
-23.618237,39.345715,-12.364641,-157.92789,38.45454545454545,-31.239235,17.157566,-10.486978,-74.83191,30.696969696969695,14263,0.0,0.0,411.6771218776703,0.41729808,-172.54713
-26.101067,35.84972,-7.911358,-141.20305,32.84615384615385,-25.456377,15.6455965,-8.260529,-84.672,26.736842105263158,15279,0.0,0.0,453.8078844547272,0.40196097,-172.54713
-21.675774,39.601498,-8.88569,-174.52864,28.533333333333335,-25.99626,13.317491,-9.999607,-64.29798,27.97222222222222,16286,0.0,0.0,496.39257860183716,0.4143554,-172.54713
